id,url,zh_tw,ja,en,translate,note
6h,https://www.busfan.club/genre/6h,10枚組,10枚組,Ten Clips,10碟套装,
6n,https://www.busfan.club/genre/6n,16時間以上作品,16時間以上作品,More Than 16 Hours Of Footage,16小时以上作品,
5e,https://www.busfan.club/genre/5e,3D,3D,3D,3D,
fd,https://www.busfan.club/genre/fd,4K,4K,4K,4K,
43,https://www.busfan.club/genre/43,4小時以上作品,4時間以上作品,Over 4 Hours,4小时以上作品,
2h,https://www.busfan.club/genre/2h,69,シックスナイン,69,69,
66,https://www.busfan.club/genre/66,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,,AV OPEN作为一个奖项，更类似于一种发行上的归类而不是影片类型，而且JavBus并没有完整收录各年度的AV OPEN影片并应用相关分类。从保持一致性的角度出发，删除所有AV OPEN的标签
69,https://www.busfan.club/genre/69,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,,
6a,https://www.busfan.club/genre/6a,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,,
75,https://www.busfan.club/genre/75,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 S&M/Hardcore Division,,
70,https://www.busfan.club/genre/70,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 Kink/Fetish Division,,
73,https://www.busfan.club/genre/73,AV OPEN 2015 乙女部門,AV OPEN 2015 乙女部門,AV OPEN 2015 Virgin Division,,
72,https://www.busfan.club/genre/72,AV OPEN 2015 企画部門,AV OPEN 2015 企画部門,AV OPEN 2015 Variety Show Division,,
76,https://www.busfan.club/genre/76,AV OPEN 2015 女優部門,AV OPEN 2015 女優部門,AV OPEN 2015 Porn Star Division,,
71,https://www.busfan.club/genre/71,AV OPEN 2015 熟女部門,AV OPEN 2015 熟女部門,AV OPEN 2015 Cougar Division,,
74,https://www.busfan.club/genre/74,AV OPEN 2015 素人部門,AV OPEN 2015 素人部門,AV OPEN 2015 Amateur Division,,
